date,m1,m1_odds,m1_win,m2,m2_odds,m2_win,combined_odds,both_win,pnl,bankroll
2023-12-30 00:00:00,Man City vs Sheffield United,1.08,True,Aston Villa vs Burnley,1.36,True,1.469,True,46.88,1469.78
2024-01-01 00:00:00,Leicester vs Huddersfield,1.2,True,Leeds vs Birmingham,1.25,True,1.5,True,50.0,1519.78
2024-01-13 00:00:00,Southampton vs Sheffield Weds,1.4,True,Napoli vs Salernitana,1.33,True,1.862,True,86.2,1605.98
2024-01-20 00:00:00,Arsenal vs Crystal Palace,1.3,True,Middlesbrough vs Rotherham,1.3,False,1.69,False,-100.0,1505.98
2024-01-21 00:00:00,Bayern Munich vs Werder Bremen,1.09,False,Real Madrid vs Almeria,1.13,True,1.232,False,-100.0,1405.98
2024-01-27 00:00:00,Barcelona vs Villarreal,1.36,False,Leverkusen vs M'gladbach,1.29,False,1.754,False,-100.0,1305.98
2024-01-28 00:00:00,Paris SG vs Brest,1.36,False,Dortmund vs Bochum,1.36,True,1.85,False,-100.0,1205.98
2024-01-31 00:00:00,Man City vs Burnley,1.08,True,Barcelona vs Osasuna,1.33,True,1.436,True,43.64,1249.62
2024-02-04 00:00:00,Lille vs Clermont,1.4,True,RB Leipzig vs Union Berlin,1.4,True,1.96,True,96.0,1345.62
2024-02-10 00:00:00,Leeds vs Rotherham,1.17,True,Liverpool vs Burnley,1.17,True,1.369,True,36.89,1382.51
2024-02-17 00:00:00,Atalanta vs Sassuolo,1.36,True,RB Leipzig vs M'gladbach,1.36,True,1.85,True,84.96,1467.47
2024-02-20 00:00:00,Man City vs Brentford,1.18,True,Ipswich vs Rotherham,1.22,True,1.44,True,43.96,1511.43
2024-02-24 00:00:00,Stuttgart vs FC Koln,1.3,False,Southampton vs Millwall,1.36,False,1.768,False,-100.0,1411.43
2024-02-25 00:00:00,Real Madrid vs Sevilla,1.29,True,Juventus vs Frosinone,1.3,True,1.677,True,67.7,1479.13
2024-03-03 00:00:00,Man City vs Man United,1.25,True,Rennes vs Lorient,1.4,False,1.75,False,-100.0,1379.13
2024-03-05 00:00:00,Leeds vs Stoke,1.33,True,Coventry vs Rotherham,1.3,True,1.729,True,72.9,1452.03
2024-03-09 00:00:00,Bayern Munich vs Mainz,1.25,True,RB Leipzig vs Darmstadt,1.14,True,1.425,True,42.5,1494.53
